Category,Zk Technology,DeFi,Public Goods,NFTs,DeSci
SubCategory 1,Finance,Decentralized Exchanges,Quadratic Funding,PFP and Avatars,Funding
SubCategory 2,Sybil resistance,Lending,Hypercerts,Artwork,Peer Review
SubCategory 3,Privacy,Stablecoins,Direct Funding,Generative Art,Access
SubCategory 4,Data & ML,Yield,DAO Governance,Collectibles,Incentives
SubCategory 5,Authentication,Vaults,Conviction Voting,Photography NFTs,Biotech DAOs
SubCategory 6,Identity,Synthetic Assets,Curation Markets,Music NFTs,Environemntal DAOs
,Zk Blockchains,Indexes,Token Design,Gamified NFT,Science DAOs
,,Derivatives,Community Building,NFT event tickets,Research Tokens
,,Options,,Membership passes,Combat Censorships
,,Launchpads,,Domain Names,Verifiable Reputation
,,,,Proof of Ownership,IP