Main Skill,NFT Art,NFT Randomisation,Gradients,,,,,,,,,,Creative Brief,Design Team Management,Creative Direction,Art Direction,Style Guide,,,,,,,,Brand Design,Web Design,Visual Storytelling,Digital Illustration,Digital Content Editing,3D Design,Visual Creativity,,,,,,Figma,Adobe Photoshop,Adobe Illustrator,3D Design Software,Canva,CorelDraw,GIMP,Affinity Designer,Infiinte Design,Inkscape,,,Network Design,Database Design,Software Design,Distributed Systems Design,Blockchain Design,Algorithm Design,,,,,,,3D Animation,Game Design,Character Design,Graphic Animation,VR Design,AR Design,,,,,,,Agile,Lean,Waterfall,,,,,,,,,,Stakeholder Management,Backlog Management,Gamification,Roadmap Development,Release Management,Product Strategy,Product Vision,,,,,,Design Thinking,Workshop Facilitaiton,User Stories,Wireframe Design,Idea Communication,Ideation Techniques,Ideation Creativity,,,,,,User Research,User Interviews,Market Research,A/B Testing,Feature Discovery Techniques,Customer Discovery,,,,,,,Report Creation,User Analytics Tools,Data Analysis,Quantiative Analysis,Statistical Analysis,Qualitative Analysis,,,,,,,User Journey Mapping,Persona Development,User Stories,Technical Spec Writing,Product OKR Development,,,,,,,,Smart Contracts,Decentralized Finance,Wallets,Oracles,Protocols,Tokenomics,,,,,,,Data Science,Data Engineering,Data Visualization,,,,,,,,,,DOM Manipulation,Web Development,API Knowledge,Frontend Frameworks,Frontend Languages,Serverside CSS,SEO knowledge,App Development,,,,,Server Knowledge,API Knowledge,Algorithm Development,Data Structures,AI Knowledge,Popular Development Frameworks,Version Control Knowledge,Technical Architecture,,,,,Typescript,Java,MySQL,Node.js,Ruby,Python,Rust/C++,GO,Javascript,Solidity ,,,Polygon,Polkadot,Celo,Avalanche,Ethereum,Solana,Cardano,Binance Smart Chain,Bitcoin,Cosmos,,,Planning,Organisation,Effective Communication,Risk Management,,,,,,,,,Cash Flow Scenarios,Financial Data Analysis,Forecast Development,Advanced Mathematics,Accounting,Treasury,Invoicing,Compliance,Asset Management,Payroll,,,Relationship Building,Agility & Adaptability,Innovation & Creativity,Motivation,Decision Making,Conflict Resolution,Negotation,,,,,,Active Listening,Body Language,Humour,Friendliness,Follow Up,Outreach,Engagement Strategies,,,,,,Prospecting Techniques,Objection Handling,Storytelling,Resilience,Fast Learning,,,,,,,,Record Keeping,Systems & Process Design,Recruiting,Governance,Compensation,Learning & Development,Quality Assurance,,,,,,Workshop Facilitation,Modeling & Analytics,Business Case Development,Pitch Decks,Proposal Development,Partnerships & Ecosystem Development,Presentation Development,Data Visualisation,Research (Qual + Quant),Client / Account Management,Quality Assurance,,Change Management,Knowledge Management,Crisis Management,Systems Design & Implementation,Innovation,Mergers & Acquisitions,People & Talent,Governance,Strategy,Audit & Financial Management,,,Italian,Arabic,Spanish,Indonesian,Russian,German,Bengali,Mandarin,Hindi,French,Portugese,English,Creative Writing,Memo Writing,Legal Writing,Ghost Writing,Strategic Document Writing,Techincal Writing,,,,,,,Video,Text (short form),Text (long form),Multi-Media,Graphic Design,,,,,,,,Community Building,Growth Hacking,Paid Media,PPC,Retargeting,A/B Testing,Public Relations,Social Media Management,SEO,Brand Activtation,,,Twitter Specialist,Linkedin Specialist,Tiktok Specialist,Facebook Specialist,Instagram Specialist,Youtube Specialist,Sina Weibo Specialist,Snapchat Specialist,Reddit Specialist,Quora Specialist,,,NFT Marketing,Allow List / Alpha Group Marketing,,,,,,,,,,,Content Strategy,Market research,Communication Strategy,Digital Marketing Strategy,A/B Testing,Consumer Research,Marketing Strategy,,,,,,Online Events,Offline Events,,,,,,,,,,,Community Calls,Organisational Skills,Forum Moderation,Conflict Resolution,Mediation,1t1 Engagement,Community Member Follow Up,Event Organisation,,,,,Discord Setup,Telegram Setup,Slack Setup,Whatsapp Setup,Microsoft Teams Setup,,,,,,,,Negotiation,Conflict Management,Communication,Motivating,Delegation,Active Listening,Self-Confidence,Body Language,Positive Attitude,Leadership,,,Decision Making,Problem Solving,Time Mangement,Mental Health/Wellbeing,Critical Thinking,Detail oriented,Big picture thinking,Public speaking,Self-starter,Receptiveness to Feedback,High EQ,High IQ
Related skill 1,Figma,Research,Digital Illustration,,,,,,,,,,Product Strategy,Stakeholder Management,Product Vision,NFT Art,Creative Brief,,,,,,,,Style Guide,Digital Illustration,Creative Direction,Figma,Figma,Autodesk Maya,Creative Direction,,,,,,,,,,,,,,,,,,Algorithm Development,Algorithm Development,Server Knowledge,Blockchain Design,Distributed Systems Design,Algorithm Development,,,,,,,3D Design,Character Design,Visual Storytelling,3D Animation,3D Animation,3D Animation,,,,,,,Stakeholder Management,Stakeholder Management,Stakeholder Management,,,,,,,,,,Backlog Management,Roadmap Development,Product Vision,Product Strategy,Planning,Decision Making,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 2,Adobe Photoshop,NFT Art,Digital Content Editing,,,,,,,,,,Product Vision,UX/UI,Design Thinking,Creative Brief,Design Team Management,,,,,,,,Creative Brief,Figma,Character Design,Adobe Photoshop,Adobe Photoshop,Sketch Up,Figma,,,,,,,,,,,,,,,,,,Technical Architecture,Technical Architecture,API Knowledge,Network Design,Polygon,Data Structures,,,,,,,Game Design,Visual Storytelling,Digital Illustration,Digital Illustration,Digital Illustration,Digital Illustration,,,,,,,Backlog Management,Backlog Management,Backlog Management,,,,,,,,,,Roadmap Development,Release Management,Design Thinking,Organisation,Negotiation,Problem Solving,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 3,Adobe Illustrator,Gradients,3D Design,,,,,,,,,,Brand Design,Brand Design,Workshop Facilitaiton,Design Team Management,Visual Storytelling,,,,,,,,Creative Direction,Adobe Photoshop,Storytelling,Adobe Illustrator,Adobe Illustrator,Vectary,,,,,,,,,,,,,,,,,,,Software Design,MySQL,Algorithm Development,Problem Solving,Polkadot,Popular Development Frameworks,,,,,,,Character Design,Digital Illustration,NFT Art,Visual Storytelling,App Development,App Development,,,,,,,Roadmap Development,Roadmap Development,Roadmap Development,,,,,,,,,,Release Management,Product Strategy,Workshop Facilitaiton,Effective Communication,Effective Communication,Time Mangement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 4,3D Design Software,Ethereum,,,,,,,,,,,Web Design,Web Design,User Stories,Creative Direction,Digital Illustration,,,,,,,,Art Direction,Adobe Illustrator,,3D Design Software,3D Design Software,3Ds Max,,,,,,,,,,,,,,,,,,,Distributed Systems Design,,Data Structures,,Celo,Technical Architecture,,,,,,,Graphic Animation,Software Design,3D Animation,Creative Direction,,,,,,,,,Product Strategy,Product Strategy,Product Strategy,,,,,,,,,,Product Strategy,Product Vision,User Stories,Risk Management,Risk Management,Mental Health/Wellbeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 5,CorelDraw,Solana,,,,,,,,,,,Visual Storytelling,Visual Storytelling,Wireframe Design,Visual Storytelling,Digital Content Editing,,,,,,,,Figma,3D Design Software,,Canva,Canva,Unreal Engine,,,,,,,,,,,,,,,,,,,Problem Solving,Software Design,Popular Development Frameworks,,Avalanche,Technical Spec Writing,,,,,,,VR Design,3D Animation,,,,,,,,,,,Product Vision,Product Vision,Product Vision,,,,,,,,,,Product Vision,Negotiation,Wireframe Design,Product Strategy,Delegation,Critical Thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 6,GIMP,,,,,,,,,,,,Digital Illustration,Digital Illustration,Idea Communication,Digital Illustration,,,,,,,,,Adobe Photoshop,Canva,,CorelDraw,CorelDraw,ZBrush,,,,,,,,,,,,,,,,,,,,Problem Solving,Version Control Knowledge,,Ethereum,Problem Solving,,,,,,,AR Design,,,,,,,,,,,,Idea Communication,Idea Communication,Planning,,,,,,,,,,Negotiation,Conflict Management,Idea Communication,Product Vision,Leadership,Detail oriented,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 7,Inkscape,,,,,,,,,,,,Digital Content Editing,Digital Content Editing,Ideation Techniques,Digital Content Editing,,,,,,,,,Adobe Illustrator,CorelDraw,,GIMP,GIMP,Adobe Substance 3D,,,,,,,,,,,,,,,,,,,,,Technical Architecture,,Solana,,,,,,,,,,,,,,,,,,,,Workshop Facilitaiton,Workshop Facilitaiton,Organisation,,,,,,,,,,Conflict Management,Active Listening,Ideation Techniques,Planning,Self-Confidence,Big picture thinking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 8,Character Design,,,,,,,,,,,,3D Design,3D Design,,3D Design,,,,,,,,,3D Design Software,GIMP,,Affinity Designer,Affinity Designer,Modo,,,,,,,,,,,,,,,,,,,,,Technical Spec Writing,,Cardano,,,,,,,,,,,,,,,,,,,,User Research,User Research,Effective Communication,,,,,,,,,,Communication,Positive Attitude,Ideation Creativity,,,Public speaking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 9,Art Direction,,,,,,,,,,,,Canva,Agile,,,,,,,,,,,Canva,Affinity Designer,,Infiinte Design,Infiinte Design,Blender,,,,,,,,,,,,,,,,,,,,,App Development,,Binance Smart Chain,,,,,,,,,,,,,,,,,,,,User Interviews,User Interviews,Risk Management,,,,,,,,,,Motivating,Leadership,,,,Self-starter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 10,Digital Illustration,,,,,,,,,,,,,Lean,,,,,,,,,,,CorelDraw,Infiinte Design,,Inkscape,Inkscape,Houdini,,,,,,,,,,,,,,,,,,,,,Problem Solving,,Bitcoin,,,,,,,,,,,,,,,,,,,,Feature Discovery Techniques,Feature Discovery Techniques,,,,,,,,,,,Delegation,Planning,,,,Receptiveness to Feedback,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 11,Digital Content Editing,,,,,,,,,,,,,Waterfall,,,,,,,,,,,GIMP,Inkscape,,3D Animation,,Cinema 4D,,,,,,,,,,,,,,,,,,,,,,,Cosmos,,,,,,,,,,,,,,,,,,,,Customer Discovery,Customer Discovery,,,,,,,,,,,Active Listening,Organisation,,,,High EQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 12,3D Design,,,,,,,,,,,,,,,,,,,,,,,,Affinity Designer,Problem Solving,,Character Design,,,,,,,,,,,,,,,,,,,,,,,,,Data Structures,,,,,,,,,,,,,,,,,,,,Planning,Planning,,,,,,,,,,,Self-Confidence,Effective Communication,,,,High IQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 13,,,,,,,,,,,,,,,,,,,,,,,,,Infiinte Design,,,Graphic Animation,,,,,,,,,,,,,,,,,,,,,,,,,Version Control Knowledge,,,,,,,,,,,,,,,,,,,,Organisation,Organisation,,,,,,,,,,,Body Language,Risk Management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 14,,,,,,,,,,,,,,,,,,,,,,,,,Inkscape,,,,,,,,,,,,,,,,,,,,,,,,,,,,Problem Solving,,,,,,,,,,,,,,,,,,,,Effective Communication,Effective Communication,,,,,,,,,,,Positive Attitude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Related skill 15,,,,,,,,,,,,,,,,,,,,,,,,,Creative Direction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risk Management,Risk Management,,,,,,,,,,,Leadership,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
